Date,Processing Crew,start time,end time,Gear Method,Species,FL (mm),WW (kg),Sample ID,Transport ID,Comments
3/28/2019,SJ/BP/CS,9:00:00,,Fyke,SB,420,0.73,2019327-F-1-F-1-10-1,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,9:00:00,,Fyke,SB,385,0.66,2019327-F-1-F-1-10-1,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,9:30:00,,Fyke,SB,365,0.6,2019327-F-2-F-10-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,10:20:00,,Lampara,CC,175,0.09,2019328-L-2-L-2,,post capt 
3/28/2019,SJ/BP/CS,11:45:00,,Seine,SB,355,0.51,2019328-B2-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,11:45:00,,Seine,SB,263,0.15,2019328-B2-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,11:45:00,,Seine,SB,270,0.22,2019328-B2-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,11:45:00,,Seine,SB,285,0.22,2019328-B2-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,11:45:00,,Seine,SB,275,0.23,2019328-B2-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,12:20:00,,Seine,LMB,430,1.4,2019328-B3-BS-2,2019328-T-USER-PFRS-3-2,
3/28/2019,SJ/BP/CS,12:50:00,,Seine,LMB,450,1.57,2019328-B4-BS-2,2019328-T-USER-PFRS-3-2,
4/1/2019,JN/LD/CS,11:00:00,,Lampara,LMB,368,0.84,201941-L-3-L-2,201941-T-USER-PFRS-1-4,
4/1/2019,JN/LD/CS,11:00:00,,Lampara,LMB,377,0.73,201941-L-4-L-2,201941-T-USER-PFRS-1-4,
4/2/2019,JN/LD/CS,11:30:00,,Hoop,BB,335,0.5,201941-H-1-Front-H-36-3B,201942-T-USER-PFRS-1-8,2-Front-H-36-2B/4-Front-H-48-2A
4/2/2019,JN/LD/CS,11:30:00,,Hoop,CC,213,0.04,201941-H-1-Front-H-36-3B,201942-T-USER-PFRS-1-8,2-Front-H-36-2B/4-Front-H-48-2A
4/2/2019,JN/LD/CS,11:30:00,,Hoop,CC,207,0.12,201941-H-1-Front-H-36-3B,201942-T-USER-PFRS-1-8,2-Front-H-36-2B/4-Front-H-48-2A
4/2/2019,JN/LD/CS,11:30:00,,Hoop,BG,155,0.03,201941-H-1-Front-H-36-3B,201942-T-USER-PFRS-1-8,2-Front-H-36-2B/4-Front-H-48-2A
4/2/2019,JN/LD/CS,11:30:00,,Hoop,BG,158,0.05,201941-H-1-Front-H-36-3B,201942-T-USER-PFRS-1-8,2-Front-H-36-2B/4-Front-H-48-2A
4/2/2019,JN/LD/CS,10:45:00,,Seine,SB,251,0.1,201942-B-1-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,10:45:00,,Seine,LMB,394,0.88,201942-B-1-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,10:45:00,,Seine,SPB,377,0.77,201942-B-1-BS-2,201942-T-USER-PFRS-1-8,
4/2/2019,JN/LD/CS,10:45:00,,Seine,AS,22,0.06,201942-B-1-BS-2,,bycatch
4/2/2019,JN/LD/CS,12:00:00,,Seine,SB,268,0.24,201942-B-2-BS-2,201942-T-USER-PFRS-1-8,
